=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-D-n455/Vrp-Set-D-n455-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 57 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 454 CLIENTS AND 57 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It      0      2 | T(s) 1.50 | Feas 60 19650.12 19794.56 | Inf 2 19910.08 19979.94 | Div 0.60 0.69 | Feas 0.98 1.00 | Pen 73.61 0.85
It    500    128 | T(s) 4.71 | Feas 65 19456.37 19527.74 | Inf 63 19154.08 19277.72 | Div 0.53 0.52 | Feas 0.49 1.00 | Pen 32.66 0.38
It   1000     70 | T(s) 8.45 | Feas 46 19424.49 19490.10 | Inf 53 18822.60 18893.14 | Div 0.54 0.50 | Feas 0.26 1.00 | Pen 20.06 0.17
It   1500    449 | T(s) 12.29 | Feas 55 19305.18 19443.75 | Inf 54 18871.21 18934.37 | Div 0.52 0.49 | Feas 0.14 1.00 | Pen 25.04 0.10
It   2000    147 | T(s) 15.96 | Feas 52 19270.09 19353.37 | Inf 30 18750.00 18840.20 | Div 0.49 0.52 | Feas 0.23 1.00 | Pen 21.71 0.10
It   2500     40 | T(s) 19.56 | Feas 64 19234.57 19341.10 | Inf 65 18851.39 18918.31 | Div 0.47 0.48 | Feas 0.15 1.00 | Pen 26.57 0.10
It   3000    540 | T(s) 23.08 | Feas 30 19234.57 19341.18 | Inf 44 18747.94 18824.86 | Div 0.50 0.48 | Feas 0.12 1.00 | Pen 23.04 0.10
It   3500    247 | T(s) 26.78 | Feas 40 19217.74 19306.22 | Inf 31 18680.66 18768.00 | Div 0.45 0.51 | Feas 0.19 1.00 | Pen 19.58 0.10
It   4000    747 | T(s) 30.47 | Feas 53 19217.74 19271.77 | Inf 63 18657.42 18719.87 | Div 0.40 0.45 | Feas 0.18 1.00 | Pen 19.97 0.10
It   4500   1247 | T(s) 34.35 | Feas 33 19217.74 19302.63 | Inf 62 18664.61 18743.71 | Div 0.46 0.47 | Feas 0.21 1.00 | Pen 20.37 0.10
It   5000   1747 | T(s) 38.03 | Feas 26 19217.74 19323.87 | Inf 54 18615.83 18706.08 | Div 0.51 0.48 | Feas 0.27 1.00 | Pen 17.66 0.10
It   5500    262 | T(s) 41.78 | Feas 57 19203.61 19281.07 | Inf 58 18687.05 18750.31 | Div 0.44 0.46 | Feas 0.24 1.00 | Pen 21.62 0.10
It   6000    762 | T(s) 45.50 | Feas 61 19203.61 19259.80 | Inf 46 18628.68 18691.88 | Div 0.41 0.48 | Feas 0.27 1.00 | Pen 18.38 0.10
It   6500   1262 | T(s) 49.22 | Feas 29 19203.61 19305.17 | Inf 38 18676.55 18781.71 | Div 0.49 0.49 | Feas 0.21 1.00 | Pen 22.05 0.10
It   7000    343 | T(s) 52.72 | Feas 58 19180.59 19246.83 | Inf 62 18600.46 18655.09 | Div 0.41 0.42 | Feas 0.23 1.00 | Pen 18.75 0.10
It   7500    843 | T(s) 56.51 | Feas 62 19180.59 19235.70 | Inf 25 18609.09 18754.02 | Div 0.39 0.52 | Feas 0.23 1.00 | Pen 19.12 0.10
It   8000   1343 | T(s) 60.17 | Feas 33 19180.59 19250.00 | Inf 42 18605.56 18653.12 | Div 0.43 0.43 | Feas 0.20 1.00 | Pen 19.50 0.10
It   8500    235 | T(s) 63.82 | Feas 46 19168.61 19220.89 | Inf 25 18605.56 18709.83 | Div 0.38 0.49 | Feas 0.20 1.00 | Pen 19.50 0.10
It   9000    124 | T(s) 67.63 | Feas 48 19162.71 19268.81 | Inf 25 18616.43 18762.64 | Div 0.45 0.50 | Feas 0.00 1.00 | Pen 20.29 0.10
It   9500    189 | T(s) 71.23 | Feas 38 19143.16 19234.69 | Inf 53 18622.74 18686.53 | Div 0.42 0.41 | Feas 0.19 1.00 | Pen 20.70 0.10
It  10000    689 | T(s) 74.89 | Feas 39 19143.16 19227.64 | Inf 49 18630.19 18671.47 | Div 0.42 0.38 | Feas 0.24 1.00 | Pen 21.11 0.10
It  10500   1189 | T(s) 78.47 | Feas 30 19143.16 19257.67 | Inf 44 18613.22 18662.58 | Div 0.45 0.38 | Feas 0.21 1.00 | Pen 21.53 0.10
It  11000   1689 | T(s) 82.09 | Feas 43 19143.16 19210.17 | Inf 28 18555.08 18618.57 | Div 0.41 0.41 | Feas 0.18 1.00 | Pen 18.30 0.10
It  11500   2189 | T(s) 85.59 | Feas 26 19143.16 19240.44 | Inf 43 18561.67 18624.41 | Div 0.46 0.39 | Feas 0.34 1.00 | Pen 18.67 0.10
It  12000   2689 | T(s) 89.03 | Feas 52 19143.16 19195.47 | Inf 37 18568.39 18619.51 | Div 0.40 0.39 | Feas 0.18 1.00 | Pen 19.04 0.10
It  12500    182 | T(s) 92.77 | Feas 29 19084.60 19231.08 | Inf 64 18557.60 18622.06 | Div 0.45 0.35 | Feas 0.22 1.00 | Pen 19.42 0.10
It  13000    682 | T(s) 96.48 | Feas 45 19084.60 19165.37 | Inf 58 18546.49 18614.93 | Div 0.37 0.38 | Feas 0.20 1.00 | Pen 19.42 0.10
It  13500   1182 | T(s) 100.02 | Feas 48 19084.60 19155.26 | Inf 50 18546.49 18588.56 | Div 0.36 0.36 | Feas 0.18 1.00 | Pen 19.42 0.10
It  14000   1682 | T(s) 103.56 | Feas 57 19084.60 19133.64 | Inf 41 18616.41 18660.95 | Div 0.30 0.36 | Feas 0.22 1.00 | Pen 23.31 0.10
It  14500    252 | T(s) 106.98 | Feas 28 19073.49 19143.45 | Inf 55 18549.50 18581.45 | Div 0.38 0.34 | Feas 0.21 1.00 | Pen 19.81 0.10
It  15000    752 | T(s) 110.50 | Feas 56 19073.49 19119.97 | Inf 33 18546.25 18588.20 | Div 0.33 0.38 | Feas 0.20 1.00 | Pen 19.81 0.10
It  15500   1252 | T(s) 113.80 | Feas 40 19073.49 19122.90 | Inf 32 18560.65 18630.76 | Div 0.34 0.40 | Feas 0.18 1.00 | Pen 20.61 0.10
