=========== Algorithm Parameters =================
---- nbGranular        is set to 20
---- mu                is set to 25
---- lambda            is set to 40
---- nbElite           is set to 4
---- nbClose           is set to 5
---- targetFeasible    is set to 0.2
---- seed              is set to 1234
---- nbIter            is set to 20000
---- timeLimit         is set to 0
---- useSwapStar       is set to 1
==================================================
----- READING INSTANCE: baseline_results/cvrp_hgs/Vrp-Set-D-n701/Vrp-Set-D-n701-hgs/0.hgs1.vrp
----- FLEET SIZE WAS NOT SPECIFIED: DEFAULT INITIALIZATION TO 86 VEHICLES
----- INSTANCE SUCCESSFULLY LOADED WITH 700 CLIENTS AND 86 VEHICLES
----- BUILDING INITIAL POPULATION
----- STARTING GENETIC ALGORITHM
It  15500   1905 | T(s) 153.59 | Feas 42 39684.52 39743.49 | Inf 40 39664.29 39717.60 | Div 0.33 0.30 | Feas 0.24 1.00 | Pen 18.69 0.10
It  16000   2405 | T(s) 158.11 | Feas 49 39684.52 39739.41 | Inf 64 39665.41 39717.71 | Div 0.34 0.28 | Feas 0.19 1.00 | Pen 19.06 0.10
It  16500    413 | T(s) 162.74 | Feas 25 39681.21 39807.80 | Inf 54 39656.06 39708.97 | Div 0.41 0.28 | Feas 0.15 1.00 | Pen 19.44 0.10
It  17000    309 | T(s) 167.12 | Feas 28 39672.13 39751.55 | Inf 41 39650.22 39703.47 | Div 0.38 0.28 | Feas 0.19 1.00 | Pen 16.53 0.10
It  17500    809 | T(s) 171.41 | Feas 51 39672.13 39704.46 | Inf 34 39657.63 39711.13 | Div 0.28 0.30 | Feas 0.14 1.00 | Pen 20.23 0.10
It  18000    382 | T(s) 175.73 | Feas 56 39656.53 39698.70 | Inf 51 39651.56 39695.49 | Div 0.27 0.27 | Feas 0.26 1.00 | Pen 17.20 0.10
It  18500    882 | T(s) 180.05 | Feas 31 39656.53 39703.63 | Inf 52 39658.03 39700.57 | Div 0.30 0.29 | Feas 0.13 1.00 | Pen 20.63 0.10
It  19000   1382 | T(s) 184.38 | Feas 37 39656.53 39677.45 | Inf 34 39652.02 39708.11 | Div 0.22 0.32 | Feas 0.26 1.00 | Pen 17.89 0.10
It  19500    199 | T(s) 188.69 | Feas 42 39650.66 39686.32 | Inf 27 39655.42 39715.31 | Div 0.25 0.33 | Feas 0.15 1.00 | Pen 22.34 0.10
It  20000    421 | T(s) 193.01 | Feas 44 39648.64 39685.48 | Inf 38 39649.54 39685.73 | Div 0.27 0.30 | Feas 0.27 1.00 | Pen 16.46 0.10
It  20500    921 | T(s) 197.23 | Feas 54 39648.64 39670.69 | Inf 28 39643.38 39776.34 | Div 0.25 0.38 | Feas 0.30 1.00 | Pen 17.13 0.10
It  21000   1421 | T(s) 201.75 | Feas 55 39648.64 39679.21 | Inf 62 39627.27 39708.78 | Div 0.27 0.32 | Feas 0.09 1.00 | Pen 20.96 0.10
It  21500    492 | T(s) 206.23 | Feas 46 39625.44 39694.08 | Inf 46 39628.12 39730.28 | Div 0.30 0.34 | Feas 0.09 1.00 | Pen 21.81 0.10
